OID_,BLDG_ID,BID,ADDRESS,POINT_X,POINT_Y,NAME,NEIGHBORHOOD,CITY,ZIP,FT_SQFT,STORY_HT,PARCEL_ID,District,shape_wkt
1,Bos_1809107000_B0,100639,1249 Hyde Park Ave,-71.124268829999949,42.256472889000065,District E-18 Police Station,Hyde Park,Boston,02136,8585.000000000000000,2.000000000000000,1809107000,E18,POINT (-71.124268829999949 42.256472889000065)
2,Bos_2005719000_B0,112112,1708 Centre St,-71.148367137999969,42.286776937000070,District E-5 Police Station,West Roxbury,Boston,02132,7708.000000000000000,2.000000000000000,2005719000,E5,POINT (-71.148367137999969 42.28677693700007)
3,Bos_0103711003_B0,222774,300 E Eagle St,-71.028134977999969,42.381496511000080,District A-7 Police Station,East Boston,Boston,02128,,3.000000000000000,0103711003,A7,POINT (-71.028134977999969 42.38149651100008)
4,Bos_0302626000_B0,136171,40 Sudbury St,-71.060306675999982,42.361816451000038,District A-1 Police Station,Boston,Boston,02114,6882.000000000000000,5.000000000000000,0302626000,A1,POINT (-71.060306675999982 42.361816451000038)
5,Bos_2202387000_B0,145004,301 Washington St,-71.150577697999950,42.349385843000050,District D-14 Police Station,Brighton,Boston,02135,8712.000000000000000,2.000000000000000,2202387000,D14,POINT (-71.15057769799995 42.34938584300005)
6,Bos_0202644020_B0,148316,20 Vine St,-71.056046539999954,42.376457980000055,District A-15 Police Station,Charlestown,Boston,02129,,,0202644020,A15,POINT (-71.056046539999954 42.376457980000055)
7,Bos_0600118000_B0,154919,101 W Broadway,-71.054935696999962,42.341155371000070,District C-6 Police Station,South Boston,Boston,02127,8528.000000000000000,2.000000000000000,0600118000,C6,POINT (-71.054935696999962 42.34115537100007)
8,Bos_0801170010_B0,162100,650 Harrison Ave,-71.069239163999953,42.339431004000062,District D-4 Police Station,Boston,Boston,02118,12382.000000000000000,3.000000000000000,0801170010,D4,POINT (-71.069239163999953 42.339431004000062)
9,Bos_0902771010_B0,163892,1 Schroeder Plz,-71.090746919999958,42.334183663000033,Boston Police Headquarters,Roxbury,Boston,02120,194000.000000000000000,4.000000000000000,0902771010,,POINT (-71.090746919999958 42.334183663000033)
10,Bos_1201261000_B0,176508,2400 Washington St,-71.085683750999976,42.328376723000076,District B-2 Police Station,Roxbury,Boston,02119,10809.000000000000000,3.000000000000000,1201261000,B2,POINT (-71.085683750999976 42.328376723000076)
11,Bos_1102261000_B0,180965,3345 Washington St,-71.104638613999953,42.309713783000063,District E-13 Police Station,Jamaica Plain,Boston,02130,8312.000000000000000,2.000000000000000,1102261000,E13,POINT (-71.104638613999953 42.309713783000063)
12,Bos_1404623000_B0,186089,1165 Blue Hill Ave,-71.091701393999983,42.284720271000026,District B-3 Police Station,Mattapan,Boston,02124,9740.000000000000000,1.500000000000000,1404623000,B3,POINT (-71.091701393999983 42.284720271000026)
13,Bos_1600673000_B0,189445,40 Gibson St,-71.059164332999956,42.298056843000040,District C-11 Police Station,Dorchester,Boston,02122,15338.000000000000000,2.000000000000000,1600673000,C11,POINT (-71.059164332999956 42.29805684300004)
